Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
9.0,128.8,0.0,62.6,240.0,184.5,0.002406417,0.06739766,6.8871813,0.8,Sep,6,7,3,20,Returning_Visitor,False,False
0.0,43.2,10.0,97.166664,414.0,3129.3936,0.039705884,0.007723577,5.606383,0.8,Nov,3,2,4,15,Returning_Visitor,False,False
0.0,177.6,10.0,961.45,108.0,1725.8707,0.01352657,0.02804138,33.788,0.0,Sep,6,2,7,15,Returning_Visitor,False,False
9.0,45.8,0.0,6.3333335,385.0,6847.737,0.08421052,0.003655914,7.2968893,0.0,May,6,2,3,18,New_Visitor,False,False
9.0,42.2,0.0,150.5,2.0,457.23334,0.006140351,0.024720162,87.74979,0.0,May,6,2,3,3,Returning_Visitor,False,False
5.0,138.56667,10.0,985.41907,248.0,11232.657,0.015892388,0.014736842,10.823573,0.0,Nov,6,6,2,13,Returning_Visitor,False,False
5.0,92.10152,8.0,105.666664,188.0,1446.7333,0.001607717,0.012303523,19.297531,0.8,Nov,6,7,7,15,Returning_Visitor,False,False
20.0,571.5,1.0,399.33334,161.0,233.0,0.031578947,0.018519813,8.788977,0.8,June,3,2,1,11,Returning_Visitor,False,False
6.0,293.57858,10.0,63.0,158.0,2347.7166,0.003588626,0.014819782,46.339912,0.0,June,3,2,4,3,New_Visitor,False,False
3.0,252.5,8.0,166.5,176.0,607.9778,0.014583333,0.014791667,38.123688,0.0,Sep,1,7,4,3,Returning_Visitor,False,False
3.0,8.214286,1.0,166.0,8.0,1418.25,0.11,0.018376067,36.334965,0.0,Nov,6,6,4,3,Returning_Visitor,False,False
11.0,140.33333,0.0,52.5,40.0,1244.0667,0.017506493,0.01573038,2.321264,0.0,Nov,6,5,3,11,Returning_Visitor,False,False
20.0,245.16667,10.0,37.0,2.0,2197.781,0.008333333,0.015178571,5.2458687,0.8,Nov,6,10,4,20,Returning_Visitor,False,False
3.0,1215.3334,0.0,149.0,414.0,2239.3638,0.019379845,0.057619046,22.964117,0.0,May,2,2,9,13,Returning_Visitor,False,False
3.0,16.333334,1.0,53.2,167.0,4895.023,0.039,0.007619048,6.2829046,0.0,June,6,10,2,3,Returning_Visitor,False,False
3.0,31.2,10.0,84.5,162.0,806.8333,0.017351104,0.019800052,1.3325107,0.4,June,2,2,1,11,Returning_Visitor,False,False
21.0,369.33334,14.0,1.0,96.0,559.75,0.002197802,0.04386447,32.417732,0.0,Sep,6,2,8,11,Returning_Visitor,False,False
6.0,265.43332,0.0,53.4,194.0,5284.817,0.055555556,0.015711501,77.64915,0.0,Nov,6,7,4,10,Returning_Visitor,False,False
2.0,975.75,0.0,288.0,227.0,283.33334,0.001363636,0.005636724,8.508238,0.0,Sep,3,6,3,8,Returning_Visitor,False,False
8.0,344.49222,14.0,148.5,188.0,468.16666,0.007906977,0.022549177,11.595225,0.0,Nov,6,2,1,9,Returning_Visitor,False,False
5.0,1215.3334,1.0,500.0,292.0,4566.2383,0.004731183,0.023267327,70.31635,0.0,Nov,1,2,7,18,Returning_Visitor,False,False
5.0,203.5,10.0,352.08334,162.0,1736.4474,0.001780415,0.06973684,54.179764,0.0,Nov,2,6,9,18,Returning_Visitor,False,False
2.0,903.7,0.0,0.0,240.0,346.56668,0.006140351,0.016935484,97.98,0.8,May,1,2,4,3,Returning_Visitor,False,False
12.0,387.5,0.0,29.5,86.0,1926.7019,0.007751938,0.024390245,43.71857,0.8,May,3,2,7,2,Returning_Visitor,False,False
19.0,46.958332,10.0,211.6,128.0,1219.1138,0.041333333,0.024380952,21.474485,0.0,May,3,2,3,2,Returning_Visitor,False,False
3.0,13.5,0.0,89.53333,240.0,1799.8334,0.024747474,0.008376076,10.673317,0.0,Sep,2,2,2,3,Returning_Visitor,False,False
2.0,311.91666,1.0,34.6,237.0,1426.5834,0.009142857,0.02513336,9.193989,0.0,Sep,6,2,7,7,Returning_Visitor,False,False
3.0,199.85,0.0,71.25,385.0,176.8,0.028985508,0.015135135,16.784203,0.4,June,6,2,1,11,Returning_Visitor,False,False
0.0,301.1369,14.0,63.0,33.0,982.7576,0.001687764,0.012080406,37.518547,0.8,June,6,6,7,11,Returning_Visitor,False,False
21.0,146.25,14.0,450.0,686.0,265.25,0.010967742,0.008832272,22.629896,0.8,Sep,1,2,7,3,Returning_Visitor,False,False
5.0,212.74167,8.0,559.0833,127.0,381.6,0.000352113,0.017894737,2.6380746,0.4,Sep,6,2,7,18,Returning_Visitor,False,False
5.0,116.97222,1.0,192.25,4.0,305.24,0.014642857,0.067,14.9964285,0.8,Nov,2,7,3,8,Returning_Visitor,False,False
5.0,174.0,0.0,102.8,70.0,253.58333,0.009375,0.006700972,19.381819,0.0,June,3,2,8,11,Returning_Visitor,False,False
23.0,200.5,1.0,522.1667,188.0,363.6,0.023794873,0.023856765,60.290184,0.8,Nov,3,7,1,15,Returning_Visitor,False,False
6.0,221.83333,14.0,29.5,359.0,1679.6666,0.017567568,0.042708334,19.244051,0.8,May,6,6,7,15,Returning_Visitor,False,False
3.0,71.3,0.0,320.5,162.0,362.63333,0.005664488,0.03851852,14.672226,0.0,Nov,2,10,4,2,New_Visitor,False,False
0.0,199.45627,0.0,32.75,187.0,98.73333,0.011461988,0.014864865,70.018265,0.8,May,6,2,8,18,Returning_Visitor,False,False
13.0,332.66666,8.0,129.75,161.0,6100.528,0.011149826,0.019031515,3.919127,0.0,June,2,6,7,3,Returning_Visitor,False,False
23.0,112.26667,0.0,58.0,9.0,139.25,0.023794873,0.03275862,56.578773,0.8,June,3,2,4,2,Returning_Visitor,False,False
6.0,311.1361,14.0,560.0,51.0,1283.0526,0.008962264,0.061904762,29.611513,0.0,Nov,6,2,7,8,Returning_Visitor,False,False
13.0,74.6,10.0,394.0,272.0,27.6,0.012195122,0.04474971,28.16893,0.8,Sep,6,2,7,3,Returning_Visitor,False,False
23.0,17.333334,10.0,34.625,40.0,436.8125,0.006666667,0.012080406,4.3954716,0.8,Sep,3,10,7,2,Returning_Visitor,False,False
23.0,17.6,0.0,65.5,80.0,1791.7,0.003157895,0.038809154,83.80838,0.0,June,2,2,7,9,Returning_Visitor,False,False
5.0,471.06,0.0,101.7,40.0,717.4667,0.02705314,0.015595238,12.552207,0.0,Nov,6,2,7,7,New_Visitor,False,False
3.0,216.25,14.0,138.75,271.0,1344.75,0.027777778,0.015495489,27.973417,0.8,Nov,6,6,7,18,Returning_Visitor,False,False
3.0,224.3,10.0,303.65,72.0,2638.2444,0.008333333,0.021469506,52.677784,0.0,June,2,6,7,10,Returning_Visitor,False,False
6.0,346.0,0.0,269.5,359.0,1469.6666,0.003140097,0.037464388,9.429362,0.0,June,1,2,7,13,Returning_Visitor,False,False
20.0,367.25,0.0,81.5,120.0,125.25,0.04074074,0.022751324,9.694154,0.8,Nov,2,6,2,13,Returning_Visitor,False,False
6.0,36.333332,0.0,20.5,517.0,441.0,0.004819277,0.005695387,47.303703,0.0,June,6,2,2,3,Returning_Visitor,False,False
6.0,46.958332,8.0,17.75,4.0,7044.0645,0.013114754,0.029308734,9.458902,0.4,Sep,2,2,8,18,Returning_Visitor,False,False
5.0,54.833332,0.0,8.1,194.0,2011.9667,0.002173913,0.0163943,44.612,0.0,Nov,6,7,8,11,Returning_Visitor,False,False
21.0,162.41667,8.0,139.0,385.0,1622.8833,0.013636364,0.021451248,360.95337,0.0,June,3,2,7,18,Returning_Visitor,False,False
20.0,149.91667,0.0,166.5,106.0,197.9,0.115384616,0.013388945,8.508238,0.0,Sep,2,7,1,3,Returning_Visitor,False,False
8.0,262.5,10.0,72.5,4.0,4306.6123,0.004022989,0.08888889,17.1525,0.4,Nov,3,2,4,2,Returning_Visitor,False,False
20.0,329.2976,0.0,48.5,385.0,2034.262,0.013761468,0.03066202,1.5824732,0.0,May,8,2,3,2,Returning_Visitor,False,False
4.0,66.26667,0.0,39.5,115.0,5969.573,0.010009921,0.032173913,14.535472,0.0,Nov,3,6,7,20,Returning_Visitor,False,False
19.0,108.833336,14.0,39.5,194.0,4374.4165,0.007586207,0.032173913,22.923412,0.4,Nov,3,2,7,15,Returning_Visitor,False,False
20.0,172.84926,14.0,39.4,518.0,43.75,0.000694444,0.011134752,11.439233,0.8,Nov,6,2,4,10,Returning_Visitor,False,False
6.0,1373.5,0.0,132.83333,93.0,1904.1833,0.08461539,0.024666667,3.9967425,0.0,June,6,2,3,18,Returning_Visitor,False,False
6.0,98.25,10.0,120.0,27.0,1717.6666,0.028910577,0.03287037,22.360334,0.0,Sep,3,7,7,3,Returning_Visitor,False,False
9.0,125.73333,1.0,291.5,237.0,1245.3,0.009836066,0.02159902,11.439233,0.8,Nov,6,2,8,9,Returning_Visitor,False,False
3.0,44.166668,0.0,227.25,517.0,848.8407,0.009375,0.017802197,27.192984,0.0,Sep,6,10,3,9,Returning_Visitor,False,False
0.0,355.5,0.0,985.41907,76.0,185.66667,0.044444446,0.010333333,32.317116,0.0,Nov,6,2,3,18,New_Visitor,False,False
5.0,191.25,0.0,26.0,227.0,136.28334,0.027407408,0.016570512,1.5978035,0.8,Nov,6,6,7,18,Returning_Visitor,False,False
5.0,112.9,14.0,49.3,2.0,1405.327,0.006439394,0.01426455,62.77367,0.8,Sep,6,10,3,2,Returning_Visitor,False,False
6.0,249.16667,0.0,29.5,162.0,1673.594,0.008313228,0.045526367,4.9702196,0.4,Sep,3,2,4,3,Returning_Visitor,False,False
9.0,182.0,14.0,559.0833,92.0,352.41666,0.011481481,0.017133957,47.303703,0.0,June,1,2,4,12,Returning_Visitor,False,False
5.0,258.14444,1.0,191.86667,67.0,277.5,0.01255814,0.039285716,5.8181515,0.8,Sep,3,10,7,19,Returning_Visitor,False,False
23.0,19.666666,14.0,51.5,339.0,511.16666,0.000531915,0.02962963,83.80838,0.8,Nov,3,2,3,12,Returning_Visitor,False,False
0.0,228.91667,0.0,162.5,75.0,931.5,0.008680556,0.02814992,2.8520367,0.0,June,2,2,3,20,Returning_Visitor,False,False
0.0,191.2,0.0,560.0,305.0,1883.8667,0.008175105,0.002614379,8.63172,0.8,Nov,3,2,1,15,Returning_Visitor,False,False
8.0,40.0,1.0,348.6,255.0,1075.7595,0.036842104,0.014203612,13.383538,0.8,June,6,2,7,9,Returning_Visitor,False,False
8.0,299.63333,0.0,590.0,27.0,10497.154,0.013,0.056349207,25.484,0.8,Nov,3,2,8,18,Returning_Visitor,False,False
23.0,52.4,14.0,279.5,18.0,54.5,0.002959159,0.010463332,5.2919893,0.0,Nov,3,2,8,3,Returning_Visitor,False,False
3.0,252.8,14.0,1220.0,248.0,290.1,0.004901961,0.048333332,9.964255,0.0,May,6,7,8,20,Returning_Visitor,False,False
2.0,335.8,0.0,121.0,6.0,479.1,0.039705884,0.023928571,16.423632,0.0,Sep,6,7,3,2,Returning_Visitor,False,False
2.0,142.5,0.0,404.0,221.0,190.70833,0.000585938,0.012349829,5.304,0.0,Nov,3,2,7,15,Returning_Visitor,False,False
5.0,174.475,0.0,929.0,24.0,269.5,0.003125,0.007885305,0.54612833,0.8,Nov,3,6,7,13,Returning_Visitor,False,False
12.0,666.2,0.0,243.0,136.0,1723.75,0.06666667,0.03716312,54.102306,0.8,May,6,2,1,15,Returning_Visitor,False,False
5.0,146.9,0.0,38.9,271.0,266.01666,0.008321168,0.014052288,56.62364,0.0,Nov,6,2,3,11,Returning_Visitor,False,False
20.0,73.5,0.0,487.0,148.0,6975.887,0.008018648,0.010463332,27.238663,0.8,June,2,2,3,3,Returning_Visitor,False,False
20.0,168.4,0.0,54.916668,176.0,679.56665,0.009375,0.001928521,36.654446,0.0,June,6,2,7,11,Returning_Visitor,False,False
0.0,346.70963,1.0,150.5,534.0,6737.272,0.002556818,0.006504065,25.050621,0.8,Sep,6,2,7,3,Returning_Visitor,False,False
9.0,143.625,8.0,243.0,102.0,607.9778,0.039705884,0.015248796,16.071066,0.0,Nov,6,6,8,12,New_Visitor,False,False
6.0,204.75,0.0,1220.0,292.0,1304.6666,0.010714286,0.009090909,66.57413,0.2,Nov,6,10,7,11,Returning_Visitor,False,False
3.0,18.1,0.0,410.5,292.0,198.13333,0.015833333,0.007885305,14.892108,0.8,Sep,6,10,3,7,Returning_Visitor,False,False
